Year,Age,G,Tgt,Rec,Yds_rec,Y/R,TD_rec,Lng,R/G,Y/G,Ctch_p,Y/Tgt,Rush,Yds_rush,TD_rush,1D,Lng,Y/A,Y/G,A/G
2020,21,16,125,88,1400,15.9,7,71,5.5,87.5,70.4,11.2,1,2,0,0,2,2.0,0.1,0.1
2021,22,10,89,63,944,15.0,6,56,6.3,94.4,70.8,10.6,3,10,0,1,11,3.3,1.0,0.3
